,Age,C0.4,C1,C2.5,C5,C10,C25,C50,C75,C90,C95,C97.5,C99,C99.6
,15,2.148981,2.226312,2.30888,2.376176,2.449481,2.561579,2.67117,2.778403,2.883403,2.949627,3.00879,3.079307,3.143341
,20,2.076614,2.150841,2.230419,2.295554,2.366823,2.47658,2.585029,2.691214,2.794242,2.858863,2.916409,2.984809,3.04677
,30,2.002616,2.07323,2.149553,2.212551,2.282103,2.390735,2.500363,2.607854,2.710301,2.773856,2.830094,2.896575,2.956509
,40,1.954633,2.02261,2.096673,2.158319,2.226986,2.335761,2.447849,2.55793,2.661038,2.724313,2.779955,2.845377,2.904079
,50,1.910136,1.975638,2.047572,2.107942,2.175789,2.284791,2.39946,2.512278,2.616186,2.679273,2.734407,2.798891,2.856482
,60,1.858772,1.921608,1.991153,2.05,2.116722,2.225443,2.342179,2.457262,2.561542,2.62419,2.678608,2.741922,2.79821
,70,1.823809,1.884573,1.952344,2.010158,2.07629,2.185586,2.305337,2.423656,2.529192,2.591938,2.646114,2.708822,2.764319
,80,1.774916,1.833186,1.89867,1.954986,2.019973,2.12891,2.250683,2.371295,2.477254,2.539606,2.593123,2.654755,2.709057
,90,1.694883,1.749702,1.811771,1.865579,1.92822,2.034725,2.156164,2.276768,2.381181,2.442002,2.4939,2.553368,2.605535
L_caudalanteriorcingulate,3,2.413271,2.518408,2.629441,2.719975,2.819884,2.979315,3.15078,3.32252,3.482703,3.583329,3.674679,3.786931,3.893446
,5,2.367937,2.470842,2.579757,2.668733,2.767082,2.924324,3.093741,3.263611,3.42209,3.521618,3.611933,3.722844,3.828003
,10,2.257856,2.355412,2.459217,2.544413,2.638962,2.790841,2.955225,3.120502,3.274811,3.371669,3.459477,3.567159,3.66907
,15,2.158955,2.251729,2.350959,2.432772,2.523927,2.671039,2.830996,2.992289,3.143031,3.237622,3.32331,3.428269,3.527445
,20,2.08729,2.176474,2.272355,2.351766,2.440596,2.584636,2.742,2.90118,3.050148,3.143627,3.228266,3.331846,3.429594
,30,2.017469,2.102626,2.195109,2.272398,2.359546,2.502229,2.659676,2.820084,2.97076,3.065404,3.151074,3.255813,3.354486
,40,1.977169,2.059999,2.150792,2.227301,2.31421,2.457808,2.617797,2.781966,2.936809,3.034211,3.122394,3.23015,3.331554
,50,1.955166,2.037501,2.128442,2.2056,2.293783,2.440579,2.605414,2.775512,2.936418,3.03771,3.12939,3.241319,3.346492
,60,1.935535,2.018713,2.111121,2.189933,2.280417,2.431874,2.602871,2.779935,2.947614,3.053112,3.148492,3.264738,3.373714
,70,1.926012,2.011675,2.107243,2.189049,2.283267,2.441536,2.620783,2.806615,2.982452,3.092874,3.192503,3.313612,3.426782
,80,1.923511,2.012887,2.11291,2.198757,2.297845,2.464683,2.65394,2.850122,3.03539,3.151427,3.255862,3.382426,3.500267
,90,1.912461,2.00564,2.110199,2.200139,2.304142,2.479583,2.67883,2.885271,3.079824,3.201357,3.310474,3.442326,3.564668
L_caudalmiddlefrontal,3,2.35314,2.435224,2.520217,2.587863,2.660269,2.769344,2.875421,2.974726,3.064355,3.117867,3.164042,3.217332,3.264269
,5,2.338514,2.41751,2.499889,2.565849,2.636818,2.744409,2.849797,2.948955,3.038714,3.092422,3.138837,3.192484,3.239808
,10,2.299226,2.371127,2.447347,2.509248,2.576686,2.680538,2.784112,2.882826,2.972884,3.027086,3.074121,3.128706,3.177053
,15,2.253516,2.31901,2.389466,2.447443,2.511361,2.611311,2.712814,2.810858,2.901064,2.955707,3.003338,3.058868,3.108276
,20,2.204115,2.264332,2.329894,2.384442,2.445201,2.541512,2.640952,2.7382,2.828375,2.883329,2.931441,2.987777,3.038126
,30,2.123859,2.17903,2.239796,2.290912,2.348458,2.441042,2.53848,2.634924,2.724757,2.779723,2.827997,2.884717,2.935595
,40,2.070149,2.124837,2.185144,2.235951,2.293251,2.38574,2.483583,2.580307,2.669721,2.724155,2.771816,2.827662,2.877628
,50,2.009767,2.066336,2.128358,2.180349,2.238736,2.33253,2.431306,2.527927,2.61584,2.668768,2.714778,2.768322,2.815916
,60,1.95426,2.013771,2.078473,2.132317,2.192409,2.288246,2.388438,2.485184,2.571673,2.623111,2.667474,2.718724,2.763958
,70,1.921141,1.981953,2.047925,2.102739,2.163855,2.26129,2.363237,2.46117,2.547793,2.598943,2.642865,2.693402,2.737844
,80,1.878883,1.938052,2.002557,2.056409,2.11674,2.213603,2.315906,2.414459,2.501304,2.552466,2.596347,2.646792,2.691121
,90,1.838679,1.895023,1.956957,2.009071,2.0679,2.163378,2.265629,2.364833,2.452251,2.503765,2.54797,2.598825,2.643556
L_cuneus,3,1.890486,1.930861,1.977325,2.018196,2.066385,2.149533,2.245914,2.346692,2.441324,2.499805,2.55168,2.613375,2.669496
,5,1.841877,1.881737,1.927625,1.968003,2.01563,2.097849,2.193222,2.29302,2.386798,2.444782,2.496237,2.557455,2.613164
,10,1.72985,1.768521,1.813082,1.852329,1.898663,1.97876,2.071836,2.169414,2.261273,2.318149,2.368669,2.428835,2.483641
,15,1.634524,1.672201,1.715658,1.753967,1.799236,1.877595,1.968812,2.064622,2.154979,2.211002,2.260814,2.320193,2.374338
,20,1.563448,1.600436,1.643133,1.680805,1.725357,1.802569,1.892595,1.987318,2.076797,2.132346,2.18178,2.240763,2.294595
,30,1.497364,1.533653,1.575587,1.612622,1.656466,1.732562,1.821465,1.915205,2.003938,2.059112,2.108267,2.166985,2.220639
,40,1.466997,1.502425,1.543374,1.579551,1.622392,1.696783,1.783747,1.875507,1.96243,2.016507,2.064706,2.122306,2.17496
,50,1.449927,1.484477,1.524413,1.559695,1.601478,1.674038,1.758872,1.848401,1.933226,1.986008,2.033059,2.089294,2.14071
,60,1.430519,1.464437,1.503652,1.538306,1.579357,1.650671,1.734096,1.822192,1.905711,1.957707,2.004073,2.059511,2.110218
,70,1.422145,1.456154,1.4955,1.53029,1.571528,1.643235,1.727224,1.816037,1.90035,1.952894,1.999786,2.055895,2.107257
,80,1.39321,1.42701,1.466143,1.500774,1.541856,1.613374,1.697277,1.786154,1.870671,1.923413,1.970524,2.026952,2.078657
,90,1.341086,1.373946,1.412017,1.445731,1.485753,1.555497,1.637432,1.724356,1.80714,1.858861,1.905099,1.960529,2.011365
L_entorhinal,3,2.244337,2.3929,2.552161,2.683108,2.827711,3.055242,3.289378,3.514085,3.715613,3.835742,3.939492,4.059487,4.165514
,5,2.262382,2.406464,2.561858,2.690292,2.832763,3.058194,3.291633,3.516878,3.719758,3.841059,3.94603,4.067672,4.175356
,10,2.304661,2.438836,2.585498,2.708147,2.845632,3.066063,3.297804,3.524383,3.730666,3.854946,3.963045,4.088932,4.200914
,15,2.342714,2.468968,2.608462,2.726254,2.859468,3.075517,3.305755,3.533605,3.743135,3.870291,3.981435,4.111489,4.227728
,20,2.373051,2.49391,2.628407,2.742736,2.87284,3.085593,3.314592,3.54326,3.755111,3.884378,3.997792,4.130994,4.250485
,30,2.396628,2.514327,2.645695,2.757678,2.88546,3.095207,3.322063,3.549392,3.760426,3.889397,4.00268,4.135884,4.255521
,40,2.393161,2.511665,2.643465,2.755457,2.882875,3.091244,3.315637,3.539305,3.745703,3.871298,3.981299,4.110283,4.225814
,50,2.383397,2.502378,2.634463,2.746511,2.873806,3.081603,3.304952,3.526916,3.730954,3.854774,3.963025,4.089742,4.203053
,60,2.32695,2.453995,2.593759,2.711356,2.843963,3.058377,3.286298,3.510193,3.713674,3.836153,3.942652,4.066666,4.176992
,70,2.169973,2.325118,2.490209,2.625195,2.773653,3.00641,3.245435,3.472823,3.67372,3.792286,3.894061,4.011121,4.114025
,80,1.822767,2.065508,2.299957,2.477266,2.660501,2.928483,3.18496,3.415186,3.609392,3.720565,3.814177,3.919944,4.011361
,90,1.399331,1.729184,2.05897,2.298929,2.532101,2.845833,3.120941,3.351641,3.536604,3.639184,3.723925,3.81803,3.898083
L_fusiform,3,2.495004,2.581206,2.667177,2.733896,2.804353,2.910496,3.016672,3.115222,3.200453,3.250852,3.294607,3.345901,3.392196
,5,2.470432,2.55349,2.636855,2.701883,2.770842,2.87524,2.98022,3.078091,3.163029,3.213369,3.257137,3.308516,3.354949
,10,2.405356,2.481108,2.558272,2.619199,2.684465,2.784467,2.886345,2.982393,3.066494,3.116636,3.160399,3.211957,3.258715
,15,2.340066,2.409312,2.480805,2.537896,2.59965,2.695386,2.794202,2.888437,2.971726,3.021699,3.065495,3.117296,3.164456
,20,2.295909,2.360212,2.427373,2.48154,2.540639,2.633251,2.730014,2.823307,2.906515,2.956754,3.000964,3.053464,3.101448
,30,2.254223,2.314028,2.377284,2.42887,2.48571,2.575891,2.671464,2.764796,2.84893,2.900098,2.945339,2.99931,3.048858
,40,2.213688,2.272305,2.334539,2.385461,2.441733,2.531334,2.626661,2.720044,2.804404,2.855769,2.901211,2.955445,3.005248
,50,2.178079,2.237202,2.299942,2.35125,2.407917,2.49806,2.593813,2.687418,2.771769,2.823015,2.868275,2.922188,2.971595
,60,2.133484,2.193756,2.257525,2.309533,2.366828,2.457652,2.55369,2.647112,2.730883,2.781575,2.826215,2.879226,2.927649
,70,2.105651,2.167164,2.232117,2.284996,2.343152,2.435124,2.532067,2.626036,2.709987,2.760636,2.805136,2.857855,2.905888
,80,2.059929,2.121539,2.186573,2.239501,2.297688,2.389647,2.486467,2.580165,2.663713,2.714029,2.758175,2.810396,2.857894
,90,1.997132,2.058274,2.122795,2.175288,2.232977,2.324094,2.419925,2.512527,2.594944,2.644497,2.687916,2.739202,2.785775
L_inferiorparietal,3,2.519245,2.585924,2.656934,2.714795,2.777966,2.875356,2.972365,3.065523,3.151865,3.204375,3.250234,3.303764,3.35143
,5,2.467082,2.532193,2.601664,2.658375,2.720401,2.816271,2.912104,3.004219,3.089464,3.141263,3.186481,3.239246,3.286221
,10,2.337262,2.39849,2.464127,2.517952,2.577087,2.669085,2.761861,2.851258,2.933682,2.983662,3.027246,3.078067,3.123286
,15,2.212892,2.270402,2.332344,2.38337,2.439683,2.527869,2.617595,2.704279,2.783917,2.832111,2.874097,2.923018,2.966524
,20,2.121234,2.175878,2.235008,2.28394,2.338189,2.423706,2.511503,2.596559,2.674434,2.721471,2.76241,2.81008,2.852455
,30,2.04469,2.096254,2.152574,2.199608,2.252231,2.336311,2.424222,2.509899,2.587852,2.634767,2.675532,2.722943,2.765055
,40,2.009599,2.058986,2.113423,2.159299,2.211103,2.295013,2.384391,2.472072,2.551401,2.598993,2.640284,2.688262,2.730853
,50,1.970403,2.017373,2.069612,2.114033,2.164657,2.247797,2.338039,2.4272,2.507472,2.555492,2.597102,2.645414,2.688288
,60,1.923412,1.967684,2.017352,2.05996,2.108963,2.190567,2.280841,2.370719,2.451288,2.499363,2.540978,2.58927,2.632117
,70,1.913535,1.955923,2.003876,2.045368,2.09352,2.174825,2.266503,2.358522,2.440702,2.48963,2.531946,2.581032,2.624585
,80,1.858614,1.89818,1.9433,1.982668,2.02876,2.107669,2.198366,2.290176,2.37191,2.420476,2.462451,2.51113,2.55433
,90,1.761872,1.797911,1.839325,1.875752,1.918773,1.99344,2.080921,2.170267,2.249598,2.296658,2.33731,2.384454,2.426305
L_inferiortemporal,3,2.400443,2.530164,2.650054,2.737727,2.826144,2.953086,3.075036,3.186234,3.282734,3.340607,3.391636,3.452653,3.509055
,5,2.400369,2.516715,2.627108,2.709507,2.793931,2.917188,3.037372,3.147872,3.243969,3.301513,3.352123,3.412419,3.467897
,10,2.3853,2.47679,2.568515,2.640023,2.715853,2.830798,2.946845,3.055842,3.151414,3.208617,3.25875,3.318129,3.372326
,15,2.363782,2.437833,2.515359,2.578009,2.64647,2.753901,2.8662,2.974322,3.070463,3.128312,3.179066,3.239129,3.293808
,20,2.347052,2.409138,2.476297,2.532144,2.594721,2.69598,2.805382,2.913534,3.011451,3.070937,3.123375,3.185631,3.242414
,30,2.311723,2.366313,2.426875,2.478382,2.537255,2.634854,2.742981,2.851824,2.951311,3.011905,3.065283,3.128487,3.185873
,40,2.267048,2.321704,2.382584,2.434518,2.493997,2.592702,2.701865,2.811109,2.910026,2.969697,3.021838,3.083009,3.137969
,50,2.224799,2.282575,2.346626,2.400993,2.462932,2.564884,2.676298,2.786222,2.884262,2.942666,2.993223,3.051949,3.104154
,60,2.164991,2.224904,2.29105,2.346965,2.410405,2.514193,2.626663,2.736585,2.833682,2.891076,2.940477,2.997518,3.047908
,70,2.151296,2.20637,2.268141,2.321133,2.382093,2.483687,2.596276,2.708687,2.809818,2.870361,2.922907,2.984058,3.038489
,80,2.135947,2.187269,2.245555,2.296162,2.355063,2.454827,2.56768,2.682701,2.788128,2.852105,2.908142,2.973945,3.03304
,90,2.081564,2.131442,2.188327,2.237918,2.295866,2.394564,2.507011,2.62245,2.72896,2.793906,2.850978,2.918213,2.978786
L_isthmuscingulate,3,2.509356,2.561547,2.622359,2.676532,2.741252,2.855168,2.990948,3.137204,3.278519,3.367867,3.448466,3.546021,3.636413
,5,2.469957,2.521617,2.58184,2.63552,2.699698,2.812814,2.947922,3.093396,3.23353,3.321932,3.401558,3.497794,3.586838
,10,2.372781,2.423144,2.481923,2.534393,2.597237,2.708364,2.841774,2.985269,3.122469,3.208535,3.28577,3.378782,3.464538
,15,2.278206,2.327385,2.384846,2.436204,2.497814,2.607078,2.738839,2.880405,3.014825,3.098707,3.173723,3.26376,3.3465
,20,2.195838,2.244131,2.300596,2.351109,2.411773,2.519586,2.650016,2.789965,2.922055,3.004109,3.077268,3.164818,3.245039
,30,2.094524,2.142253,2.198025,2.247892,2.307757,2.414108,2.54271,2.680118,2.808814,2.888283,2.958845,3.042939,3.119669
,40,2.02396,2.072455,2.12886,2.179033,2.238911,2.344237,2.469741,2.603047,2.728418,2.806041,2.875048,2.957352,3.032477
,50,1.955099,2.006319,2.065433,2.117556,2.179127,2.285545,2.409027,2.539439,2.664172,2.742306,2.812246,2.896159,2.973155
,60,1.880434,1.936186,1.999957,2.055611,2.120572,2.230551,2.354162,2.48406,2.611269,2.692238,2.765412,2.853952,2.935816
,70,1.810943,1.872169,1.941642,2.001724,2.071119,2.186505,2.312589,2.444474,2.576273,2.661278,2.738702,2.833027,2.920771
,80,1.736884,1.803958,1.87954,1.944396,2.018639,2.140234,2.270006,2.40512,2.542229,2.631503,2.713259,2.813324,2.90678
,90,1.659812,1.733407,1.815756,1.885868,1.965423,2.093832,2.227802,2.366584,2.509307,2.602973,2.689129,2.794959,2.894095
L_lateraloccipital,3,2.180289,2.220133,2.264951,2.303497,2.347938,2.422197,2.504705,2.587212,2.661471,2.705912,2.744458,2.789277,2.829121
,5,2.137853,2.177719,2.222561,2.261127,2.305592,2.37989,2.462442,2.544993,2.619291,2.663756,2.702323,2.747164,2.78703
,10,2.032335,2.072253,2.117154,2.155772,2.200296,2.274693,2.357353,2.440014,2.514411,2.558935,2.597552,2.642454,2.682372
,15,1.93102,1.970991,2.015952,2.054621,2.099203,2.173699,2.256469,2.339239,2.413734,2.458317,2.496986,2.541946,2.581917
,20,1.856178,1.896201,1.941221,1.979941,2.024582,2.099175,2.182054,2.264932,2.339526,2.384167,2.422886,2.467906,2.507929
,30,1.813264,1.853391,1.898526,1.937346,1.982102,2.056888,2.13998,2.223072,2.297858,2.342614,2.381433,2.426569,2.466696
,40,1.790054,1.830282,1.875532,1.914449,1.959318,2.034293,2.117595,2.200897,2.275872,2.320741,2.359659,2.404909,2.445137
,50,1.779693,1.820023,1.865386,1.904402,1.949384,2.024547,2.108059,2.191571,2.266735,2.311717,2.350732,2.396096,2.436425
,60,1.741305,1.781736,1.827215,1.866329,1.911426,1.986779,2.070503,2.154227,2.229581,2.274677,2.313791,2.35927,2.399701
,70,1.715134,1.755669,1.801264,1.840478,1.88569,1.961236,2.045174,2.129112,2.204659,2.24987,2.289085,2.33468,2.375215
,80,1.661643,1.702282,1.747995,1.78731,1.832639,1.90838,1.992534,2.076688,2.15243,2.197758,2.237073,2.282786,2.323425
,90,1.540737,1.581481,1.627312,1.666729,1.712174,1.788111,1.872482,1.956854,2.032791,2.078236,2.117653,2.163484,2.204228
L_lateralorbitofrontal,3,2.662779,2.756058,2.851105,2.926131,3.006378,3.128665,3.251521,3.364551,3.460298,3.51561,3.562667,3.616548,3.66389
,5,2.604455,2.695169,2.78782,2.861095,2.939594,3.059452,3.18013,3.291381,3.385786,3.440392,3.486889,3.540175,3.587036
,10,2.472634,2.555353,2.640755,2.7089,2.782452,2.895774,3.011028,3.118243,3.209924,3.263243,3.308807,3.361212,3.40746
,15,2.381053,2.450086,2.523413,2.583363,2.649452,2.753973,2.86349,2.96816,3.059726,3.113832,3.160561,3.214858,3.263264
,20,2.333926,2.389219,2.449963,2.501173,2.559247,2.654594,2.759147,2.863585,2.958621,3.016413,3.067312,3.127617,3.182441
,30,2.242378,2.293835,2.35083,2.399262,2.454618,2.546522,2.648814,2.752648,2.848646,2.907754,2.960286,3.02311,3.08079
,40,2.178825,2.233876,2.294268,2.345128,2.402773,2.497403,2.601295,2.705381,2.800526,2.858645,2.910024,2.971157,3.027002
,50,2.164031,2.210928,2.263604,2.309001,2.361638,2.450911,2.553274,2.660749,2.763638,2.828813,2.887979,2.960348,3.028408
,60,2.106942,2.156994,2.212753,2.260427,2.315284,2.407339,2.511483,2.619353,2.72134,2.785347,2.843076,2.913223,2.978749
,70,2.030956,2.090625,2.155429,2.209524,2.270362,2.369317,2.476958,2.584147,2.681892,2.741612,2.794474,2.857504,2.915254
,80,1.999531,2.059092,2.123901,2.178108,2.239197,2.338883,2.447856,2.557037,2.657279,2.718883,2.773658,2.839287,2.899735
,90,1.987032,2.039672,2.098068,2.147828,2.204939,2.300571,2.408756,2.521221,2.628315,2.696056,2.757572,2.832927,2.903975
L_lingual,3,2.06873,2.108064,2.152694,2.191429,2.236525,2.313024,2.399905,2.489044,2.571462,2.621883,2.666336,2.718918,2.766522
,5,2.025556,2.064384,2.108427,2.146646,2.191133,2.266591,2.352291,2.440245,2.521606,2.571407,2.615333,2.667318,2.71441
,10,1.922488,1.960121,2.002773,2.039759,2.082791,2.155753,2.238619,2.323723,2.402553,2.450875,2.493549,2.544127,2.590021
,15,1.831024,1.867652,1.909119,1.945046,1.986819,2.057602,2.137984,2.220596,2.297231,2.344285,2.3859,2.435307,2.480228
,20,1.764284,1.800357,1.841138,1.87643,1.917427,1.986836,2.065633,2.14667,2.221971,2.268293,2.309332,2.358152,2.402643
,30,1.703859,1.740242,1.781202,1.816526,1.857445,1.926533,2.004851,2.0855,2.160734,2.207238,2.248615,2.298093,2.343458
,40,1.667327,1.704541,1.746156,1.781843,1.822993,1.892144,1.9703,2.050865,2.126408,2.173408,2.215482,2.266164,2.313037
,50,1.631489,1.669854,1.712317,1.748412,1.789733,1.858646,1.93613,2.016072,2.09156,2.138965,2.181774,2.233894,2.282709
,60,1.58479,1.624838,1.668476,1.705078,1.746517,1.814818,1.89098,1.969623,2.044638,2.092392,2.136077,2.190108,2.241669
,70,1.545548,1.588911,1.635072,1.673017,1.715258,1.783636,1.858905,1.936685,2.011989,2.06091,2.10653,2.164299,2.220982
,80,1.49352,1.542534,1.59294,1.633141,1.676768,1.745473,1.819597,1.896258,1.972155,2.022987,2.071779,2.135787,2.201271
,90,1.41906,1.478237,1.536124,1.580268,1.626373,1.696001,1.76882,1.844206,1.921431,1.975603,2.029929,2.105108,2.187009
L_medialorbitofrontal,3,2.451144,2.533081,2.618154,2.686504,2.76098,2.878085,3.002255,3.125578,3.24035,3.312577,3.378342,3.459508,3.53696
,5,2.395353,2.473046,2.554224,2.619806,2.691617,2.805209,2.926443,3.047494,3.160582,3.231909,3.296936,3.377278,3.454016
,10,2.268076,2.336543,2.409137,2.468556,2.534379,2.640025,2.754612,2.870589,2.980036,3.049492,3.113047,3.191826,3.267298
,15,2.172365,2.233711,2.299618,2.354212,2.415349,2.514843,2.624475,2.736975,2.844293,2.912872,2.975898,3.054343,3.12979
,20,2.114669,2.171146,2.232497,2.283835,2.341868,2.437457,2.544272,2.655253,2.762178,2.830952,2.894422,2.973731,3.050305
,30,2.049857,2.101739,2.158868,2.20727,2.262606,2.355068,2.460037,2.570504,2.677862,2.747227,2.81138,2.891659,2.969236
,40,2.009539,2.060901,2.117743,2.166106,2.221586,2.314597,2.420355,2.531417,2.638726,2.707581,2.770863,2.849454,2.924724
,50,1.965895,2.018879,2.077476,2.127267,2.184273,2.279446,2.386789,2.498164,2.604149,2.671205,2.732133,2.806834,2.877351
,60,1.914588,1.969367,2.02983,2.081087,2.139598,2.236771,2.345385,2.456692,2.56106,2.626225,2.684818,2.755827,2.822004
,70,1.887822,1.943786,2.005617,2.058059,2.117922,2.217238,2.327901,2.440666,2.545583,2.610604,2.668712,2.738649,2.803324
,80,1.87461,1.930663,1.992863,2.045818,2.106462,2.207438,2.320302,2.435439,2.542456,2.608642,2.667664,2.738505,2.803796
,90,1.869936,1.925902,1.988328,2.041722,2.103118,2.205858,2.321277,2.439424,2.549398,2.617412,2.678025,2.750693,2.81756
L_middletemporal,3,2.609694,2.726865,2.840901,2.927422,3.016642,3.145751,3.266607,3.375135,3.468785,3.523053,3.569015,3.621156,3.666347
,5,2.597483,2.705839,2.813165,2.895687,2.981662,3.10748,3.226568,3.334481,3.428283,3.482904,3.529307,3.582098,3.627977
,10,2.560605,2.651088,2.744104,2.817747,2.896294,3.014325,3.129119,3.235554,3.32985,3.385472,3.433117,3.487743,3.535567
,15,2.522184,2.599116,2.680573,2.74668,2.818685,2.929624,3.040469,3.145738,3.240951,3.297932,3.347206,3.404211,3.454555
,20,2.48922,2.556377,2.629099,2.6893,2.756038,2.861156,2.968843,3.073535,3.170245,3.229008,3.280344,3.340325,3.393813
,30,2.42728,2.485336,2.549585,2.60385,2.665137,2.764051,2.868353,2.972745,3.071913,3.13344,3.187969,3.252597,3.311056
,40,2.383631,2.440307,2.503315,2.55676,2.617365,2.715698,2.820042,2.925271,3.026084,3.089033,3.145071,3.211781,3.272394
,50,2.323118,2.38233,2.447817,2.503088,2.56546,2.665979,2.771729,2.8776,2.97846,3.041156,3.096785,3.162785,3.222543
,60,2.229923,2.294351,2.364726,2.423435,2.48896,2.593011,2.700517,2.806408,2.905903,2.967097,3.020988,3.084442,3.141456
,70,2.15984,2.227722,2.301442,2.362614,2.430549,2.537715,2.647552,2.755053,2.855612,2.917246,2.971392,3.034988,3.091986
,80,2.090288,2.160334,2.236218,2.299041,2.36866,2.478161,2.589984,2.699194,2.801285,2.863823,2.918736,2.983201,3.040945
,90,2.019658,2.091933,2.170026,2.234523,2.305837,2.417671,2.53145,2.642327,2.745909,2.809322,2.864977,2.930278,2.988741
L_parahippocampal,3,2.285893,2.365317,2.457658,2.540009,2.6389,2.815671,3.031411,3.249377,3.431363,3.534547,3.621247,3.719321,3.804414
,5,2.255085,2.334857,2.427559,2.510185,2.60934,2.786382,3.00212,3.220098,3.4024,3.505893,3.592918,3.691423,3.776941
,10,2.179204,2.259814,2.353377,2.436655,2.536428,2.714067,2.929705,3.147616,3.330623,3.434843,3.522642,3.622187,3.708734
,15,2.106015,2.187355,2.281659,2.365485,2.46576,2.643816,2.85917,3.076829,3.260351,3.365174,3.453638,3.554091,3.641548
,20,2.040552,2.122627,2.217689,2.302094,2.402926,2.581552,2.796909,3.0146,3.198793,3.304271,3.393426,3.494801,3.583168
,30,1.959128,2.04251,2.138951,2.224441,2.326373,2.506349,2.72234,2.940702,3.126366,3.233071,3.323456,3.426424,3.516331
,40,1.914969,1.996991,2.091858,2.175952,2.27622,2.45326,2.665736,2.880512,3.06307,3.167968,3.25681,3.358008,3.446359
,50,1.889601,1.968987,2.061009,2.142787,2.240582,2.414135,2.623871,2.835843,3.014707,3.116926,3.20322,3.301236,3.386591
,60,1.867485,1.945227,2.035652,2.116324,2.213234,2.386546,2.59818,2.812068,2.990669,3.091935,3.177023,3.273272,3.356781
,70,1.818665,1.896389,1.987128,2.06842,2.166548,2.343484,2.561901,2.782709,2.965175,3.067808,3.153636,3.25032,3.333895
